date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
2017-09-30,FR.TO,USD,,2017-09-30,2017-09-30,2017,Q3,-1320000.0,266000.0,13000.0,1985000.0,-2289000.0,-3284000.0,-415000.0,2197000.0,0.0,16723000.0,15378000.0,-21919000.0,0.0,0.0,0.0,-303000.0,-22222000.0,-5033000.0,0.0,0.0,0.0,4067000.0,-966000.0,1705000.0,-6105000.0,120794000.0,126899000.0,15378000.0,-21919000.0,-6541000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2017-06-30,FR.TO,USD,,2017-06-30,2017-06-30,2017,Q2,1412000.0,249000.0,-8108000.0,2169000.0,-461000.0,-23000.0,1057000.0,-844000.0,0.0,22238000.0,17499000.0,-17312000.0,0.0,0.0,0.0,-170000.0,-17482000.0,-4738000.0,0.0,0.0,0.0,2933000.0,-1805000.0,1082000.0,-706000.0,126899000.0,127605000.0,17499000.0,-17312000.0,187000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2017-03-31,FR.TO,USD,,2017-03-31,2017-03-31,2017,Q1,2720000.0,248000.0,-138000.0,2291000.0,-2679000.0,1851000.0,1661000.0,-5395000.0,0.0,15578000.0,18020000.0,-17032000.0,0.0,0.0,0.0,-71000.0,-17103000.0,-5292000.0,0.0,0.0,0.0,1833000.0,-3459000.0,1098000.0,-1444000.0,127605000.0,129049000.0,18020000.0,-17032000.0,988000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2016-12-31,FR.TO,USD,,2016-12-31,2016-12-31,2016,Q4,1814000.0,203000.0,-282000.0,1097000.0,12703000.0,0.0,0.0,0.0,0.0,20985000.0,36520000.0,-22853000.0,0.0,-29000.0,48000.0,168000.0,-22666000.0,-5345000.0,0.0,0.0,0.0,-366000.0,-5711000.0,-1572000.0,6571000.0,129049000.0,122478000.0,36520000.0,-22853000.0,13667000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2016-09-30,FR.TO,USD,,2016-09-30,2016-09-30,2016,Q3,8115000.0,201000.0,5274000.0,1067000.0,-6846000.0,0.0,0.0,0.0,0.0,18692000.0,26503000.0,-15239000.0,0.0,-2671000.0,0.0,-485000.0,-18395000.0,-6150000.0,0.0,0.0,0.0,12510000.0,6360000.0,-194000.0,14274000.0,122478000.0,108204000.0,26503000.0,-15239000.0,11264000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2016-06-30,FR.TO,USD,,2016-06-30,2016-06-30,2016,Q2,6105000.0,166000.0,3113000.0,1092000.0,-7116000.0,733000.0,-1485000.0,-5513000.0,0.0,11521000.0,14881000.0,-14920000.0,0.0,-1001000.0,0.0,-148000.0,-16069000.0,-2599000.0,42716000.0,0.0,0.0,6138000.0,46255000.0,1404000.0,46471000.0,108204000.0,61733000.0,14881000.0,-14920000.0,-39000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2016-03-31,FR.TO,USD,,2016-03-31,2016-03-31,2016,Q1,-7433000.0,189000.0,8785000.0,1147000.0,-1285000.0,-9000.0,2039000.0,-2014000.0,0.0,20705000.0,22108000.0,-9448000.0,0.0,0.0,48000.0,-56000.0,-9456000.0,-49112000.0,0.0,0.0,0.0,47034000.0,-2078000.0,141000.0,10715000.0,61733000.0,51018000.0,22108000.0,-9448000.0,12660000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2015-12-31,FR.TO,USD,,2015-12-31,2015-12-31,2015,Q4,-102961000.0,225000.0,-12927000.0,766000.0,87000.0,-1938000.0,4560000.0,-4455000.0,0.0,132438000.0,17628000.0,-12538000.0,0.0,0.0,388000.0,27518000.0,15368000.0,-7694000.0,0.0,0.0,0.0,-989000.0,-8683000.0,600000.0,24913000.0,51018000.0,26105000.0,17628000.0,-12538000.0,5090000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2015-09-30,FR.TO,USD,,2015-09-30,2015-09-30,2015,Q3,-1780000.0,189000.0,-4867000.0,1007000.0,2430000.0,633000.0,351000.0,3929000.0,0.0,13887000.0,10866000.0,-13388000.0,0.0,0.0,0.0,598000.0,-12790000.0,-8352000.0,0.0,0.0,0.0,-917000.0,-9269000.0,-444000.0,-11637000.0,26105000.0,37742000.0,10866000.0,-13388000.0,-2522000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2015-06-30,FR.TO,USD,,2015-06-30,2015-06-30,2015,Q2,-2578000.0,188000.0,-1871000.0,1544000.0,6551000.0,0.0,0.0,0.0,0.0,17416000.0,21250000.0,-18859000.0,0.0,0.0,396000.0,613000.0,-17850000.0,-9448000.0,22968000.0,0.0,0.0,-988000.0,12532000.0,-574000.0,15358000.0,37742000.0,22384000.0,21250000.0,-18859000.0,2391000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=First Majestic Silver Corp&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
